name,country,linked_to,link,jurisdiction,year,active,yr_active,gender,term
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2012,1,8,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2011,1,7,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2010,1,6,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2009,1,5,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2008,1,4,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2007,1,3,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2006,1,2,female,OSORIO
"CALDERON OSORIO, ELIZABETH JOSEFA",,CREACIONES ELICAR,proxy of,AW,2005,1,1,female,OSORIO
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2016,1,12,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2015,1,11,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2014,1,10,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2013,1,9,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2012,1,8,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2011,1,7,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2010,1,6,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2009,1,5,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2008,1,4,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2007,1,3,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2006,1,2,female,SERNA
"HENGEVELD-SERNA ORREGO, GILMA ROCIO",,NEW FASHION ROSI,owner of,AW,2005,1,1,female,SERNA
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2016,1,12,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2015,1,11,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2014,1,10,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2013,1,9,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2012,1,8,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2011,1,7,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2010,1,6,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2009,1,5,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2008,1,4,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2007,1,3,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2006,1,2,female,GUILLEN
"PONSON-GUILLEN, JUDITH ANN",,"INDUSTRIAL ALLIANCE INSURANCE AND FINANCIAL SERVICES, INC.",manager of,AW,2005,1,1,female,GUILLEN
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2016,1,12,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2015,1,11,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2014,1,10,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2013,1,9,male,PACHECO
"PACHECO AREVALO, YIRMAN ENRIQUE",,PACHECO ALL SUPPLY,owner of,AW,2012,1,8,male,PACHECO
