"node_id_start","node_id_end","rel_type","link","status","start_date","end_date","sourceID","origin_match"
12021715,10050647,"officer_of","shareholder of",NA,"16-FEB-2007","26-FEB-2007","Panama Papers","1_node_start"
12021716,10050647,"officer_of","shareholder of",NA,"18-JUN-2010",NA,"Panama Papers","1_node_start"
12021713,10050647,"officer_of","shareholder of",NA,"19-JUN-2010",NA,"Panama Papers","1_node_start"
12094055,10050827,"officer_of","shareholder of",NA,"11-JAN-2007",NA,"Panama Papers","1_node_start"
12018829,10051207,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12018828,10051207,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12082419,10051417,"officer_of","shareholder of",NA,"06-APR-2009",NA,"Panama Papers","1_node_start"
12082420,10051417,"officer_of","shareholder of",NA,"06-APR-2009",NA,"Panama Papers","1_node_start"
12153017,10051563,"officer_of","shareholder of",NA,"22-SEP-2015",NA,"Panama Papers","1_node_start"
12140646,10051625,"officer_of","shareholder of",NA,"22-OCT-2014",NA,"Panama Papers","1_node_start"
12007651,10051667,"officer_of","shareholder of",NA,"28-JUN-2008","01-JUL-2008","Panama Papers","1_node_start"
12020066,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12020068,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12020067,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12020074,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12020070,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12020072,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12020658,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12020659,10051770,"officer_of","shareholder of",NA,"07-MAR-2008",NA,"Panama Papers","1_node_start"
12066573,10051809,"officer_of","shareholder of",NA,"01-OCT-2008",NA,"Panama Papers","1_node_start"
12006946,10051958,"officer_of","shareholder of",NA,"13-JUN-2014",NA,"Panama Papers","1_node_start"
12011816,10051958,"officer_of","shareholder of",NA,"17-SEP-2010","13-JUN-2014","Panama Papers","1_node_start"
12063161,10051917,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12007721,10051917,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12063163,10051917,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12063162,10051917,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12060216,10051967,"officer_of","shareholder of",NA,"16-JAN-2009",NA,"Panama Papers","1_node_start"
12062400,10052261,"officer_of","shareholder of",NA,"20-AUG-2004",NA,"Panama Papers","1_node_start"
12062398,10052261,"officer_of","shareholder of",NA,"20-AUG-2004",NA,"Panama Papers","1_node_start"
12062399,10052261,"officer_of","shareholder of",NA,"20-AUG-2004",NA,"Panama Papers","1_node_start"
12021688,10052352,"officer_of","shareholder of",NA,"21-FEB-2008",NA,"Panama Papers","1_node_start"
12017796,10052402,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12082476,10052470,"officer_of","shareholder of",NA,"29-MAY-2007",NA,"Panama Papers","1_node_start"
12065824,10052483,"officer_of","shareholder of",NA,"15-JUL-2015",NA,"Panama Papers","1_node_start"
12065489,10052483,"officer_of","shareholder of",NA,"15-JUL-2015",NA,"Panama Papers","1_node_start"
12078385,10052603,"officer_of","shareholder of",NA,"18-AUG-2007",NA,"Panama Papers","1_node_start"
12078386,10052603,"officer_of","shareholder of",NA,"18-AUG-2007",NA,"Panama Papers","1_node_start"
12064885,10052991,"officer_of","shareholder of",NA,"30-APR-2008",NA,"Panama Papers","1_node_start"
12078203,10053192,"officer_of","shareholder of",NA,NA,"12-DEC-2008","Panama Papers","1_node_start"
12078202,10053192,"officer_of","shareholder of",NA,NA,"12-DEC-2008","Panama Papers","1_node_start"
12063162,10053294,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12063161,10053294,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12063163,10053294,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12007721,10053294,"officer_of","shareholder of",NA,"06-JUN-2008",NA,"Panama Papers","1_node_start"
12065005,10053523,"officer_of","shareholder of",NA,"28-NOV-2013",NA,"Panama Papers","1_node_start"
12076396,10053597,"officer_of","shareholder of",NA,"28-MAY-2008","11-JUN-2010","Panama Papers","1_node_start"
12061816,10053616,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12021450,10053706,"officer_of","shareholder of",NA,"08-SEP-2008","06-APR-2012","Panama Papers","1_node_start"
12142032,10054050,"officer_of","shareholder of",NA,"28-MAY-2008",NA,"Panama Papers","1_node_start"
12170399,10054050,"officer_of","shareholder of",NA,"28-MAY-2008",NA,"Panama Papers","1_node_start"
12170398,10054050,"officer_of","shareholder of",NA,"28-MAY-2008",NA,"Panama Papers","1_node_start"
12146594,10054050,"officer_of","shareholder of",NA,"28-MAY-2008",NA,"Panama Papers","1_node_start"
12067810,10054058,"officer_of","shareholder of",NA,"11-AUG-2008",NA,"Panama Papers","1_node_start"
12064641,10054101,"officer_of","shareholder of",NA,"04-JAN-2008",NA,"Panama Papers","1_node_start"
12067471,10054300,"officer_of","shareholder of",NA,"25-SEP-2009",NA,"Panama Papers","1_node_start"
12067472,10054300,"officer_of","shareholder of",NA,"25-SEP-2009",NA,"Panama Papers","1_node_start"
12064834,10054327,"officer_of","shareholder of",NA,"28-DEC-2007",NA,"Panama Papers","1_node_start"
12080405,10054473,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12064885,10054515,"officer_of","shareholder of",NA,"04-JAN-2008",NA,"Panama Papers","1_node_start"
12012082,10054556,"officer_of","shareholder of",NA,"14-APR-2014",NA,"Panama Papers","1_node_start"
12032206,10055064,"officer_of","shareholder of",NA,"25-JAN-2007",NA,"Panama Papers","1_node_start"
12060303,10055203,"officer_of","shareholder of",NA,"29-JUL-2010",NA,"Panama Papers","1_node_start"
12007275,10055421,"officer_of","shareholder of",NA,NA,NA,"Panama Papers","1_node_start"
12204463,10055576,"officer_of","shareholder of",NA,"21-MAY-2008",NA,"Panama Papers","1_node_start"
13002144,10055594,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12077988,10057314,"officer_of","shareholder of",NA,"22-NOV-2007",NA,"Panama Papers","1_node_start"
12007651,10056449,"officer_of","shareholder of",NA,"02-JUL-2008","02-JUL-2008","Panama Papers","1_node_start"
