Company;Country;Doc id;Cartel;a.k.a;Impact Report Page
VALORES CORPORATIVOS S.A.;Colombia;21;Cali Cartel;;153
ALERO S.A.;Colombia;21;Cali Cartel;;153
INVERSIONES ARA LTDA.;;21;Cali Cartel;;153
Colombo Andina Comercial Coalsa Ltda.;;21;North Valle Drug Cartel;;156
Compania Agropecuaria del Sur Ltda.;;21;North Valle Drug Cartel;;156
Coagrosur Ltda.;;21;North Valle Drug Cartel;;156
Inversiones Agroindustriales del Occidente Ltda.;;21;North Valle Drug Cartel;;156
Dimabe Ltda.;;21;North Valle Drug Cartel;;156
INDUSTRIAS AGROPECUARIA EL EDEN S.A.;Panama;21;North Valle Drug Cartel;;159
CASA GRAJALES S.A.;Colombia;21;North Valle Drug Cartel;;159
GRAJALES S.A.;Colombia;21;North Valle Drug Cartel;;159
FREXCO S.A.;Colombia;21;North Valle Drug Cartel;;159
HOTEL LOS VINEDOS;Colombia;21;North Valle Drug Cartel;;159
IBADAN LTDA.;Colombia;21;North Valle Drug Cartel;;159
INVERSIONES AGUILA LTDA.;Colombia;21;North Valle Drug Cartel;;159
INVERSIONES GRAME LTDA.;Colombia;21;North Valle Drug Cartel;;159
INVERSIONES LOS POSSO LTDA. S.C.S.;Colombia;21;North Valle Drug Cartel;;159
INVERSIONES SANTA CECILIA S.C.S.;Colombia;21;North Valle Drug Cartel;;159
INVERSIONES SANTA MONICA LTDA.;Colombia;21;North Valle Drug Cartel;;159
PANAMERICANA LTDA;Colombia;21;North Valle Drug Cartel;;159
SOCIEDAD DE NEGOCIOS SAN AGUSTIN LTDA.;Colombia;21;North Valle Drug Cartel;;159
CRETA S.A.;Colombia;21;North Valle Drug Cartel;;159
HEBRON S.A.;Colombia;21;North Valle Drug Cartel;;159
GAD S.A.;Colombia;21;North Valle Drug Cartel;;159
TRANSPORTES DEL ESPIRITU SANTO S.A.;Colombia;21;North Valle Drug Cartel;;159
INTERNATIONAL FREEZE DRIED S.A.;Colombia;21;North Valle Drug Cartel;;159
INDUSTRIAS DEL ESPIRITU SANTO S.A.;Colombia;21;North Valle Drug Cartel;;159
G.L.G. S.A.;Colombia;21;North Valle Drug Cartel;;159
ALMACAES S.A.;Colombia;21;North Valle Drug Cartel;;159
ILOVIN S.A.;Colombia;21;North Valle Drug Cartel;;159
C.A.D. S.A.;Colombia;21;North Valle Drug Cartel;;159
RAMAL S.A.;Colombia;21;North Valle Drug Cartel;;159
MACEDONIA LTDA.;Colombia;21;North Valle Drug Cartel;;159
AGUSTIN GRAJALES Y CIA. LTDA.;Colombia;21;North Valle Drug Cartel;;159
ARMAGEDON S.A.;Colombia;21;North Valle Drug Cartel;;159
JOSAFAT S.A.;Colombia;21;North Valle Drug Cartel;;159
BLACKMORE INVESTMENTS A.V.V.;Aruba;21;North Valle Drug Cartel;;159
SALIM S.A.;Colombia;21;North Valle Drug Cartel;;159
AGRONILO S.A.;Colombia;21;North Valle Drug Cartel;;159
SALOME GRAJALES Y CIA. LTDA.;Colombia;21;North Valle Drug Cartel;;159
ASESORIAS PROFESIONALES LTDA.;Colombia;21;North Valle Drug Cartel;;162
PLASTEC LTDA.;Colombia;21;North Valle Drug Cartel;;162
RR TOUR S.A. DE C.V.;MEXICO;21;North Valle Drug Cartel;;162
AGROPECUARIA PALMA DEL RIO S.A.;Colombia;21;North Valle Drug Cartel;;162
AGUSTIN GRAJALES Y CIA. LTDA.;Colombia;21;North Valle Drug Cartel;;164
ARMAGEDON S.A.;Colombia;21;North Valle Drug Cartel;;164
ARMANDO JAAR Y CIA. S.C.S.;Colombia;21;North Valle Drug Cartel;;164
BLACKMORE INVESTMENTS A.V.V.;Aruba;21;North Valle Drug Cartel;;164
CRETA S.A;Colombia;21;North Valle Drug Cartel;;164
GAD S.A.;Colombia;21;North Valle Drug Cartel;;164
HEBRON S.A.;Colombia;21;North Valle Drug Cartel;;164
JOSAFAT S.A.;Colombia;21;North Valle Drug Cartel;;164
MACEDONIA LTDA.;Colombia;21;North Valle Drug Cartel;;164
SALIM S.A.;Colombia;21;North Valle Drug Cartel;;164
ALMACAES S.A.;Colombia;21;North Valle Drug Cartel;;164
G.L.G. S.A.;Colombia;21;North Valle Drug Cartel;;164
RAMAL S.A.;Colombia;21;North Valle Drug Cartel;;164
C.A.D. S.A.;Colombia;21;North Valle Drug Cartel;;164
ILOVIN S.A.;Colombia;21;North Valle Drug Cartel;;164
COMERCIALIZADORA PELISSIER OSPINA LTDA;Colombia;21;North Valle Drug Cartel;;164
JACARIA FLORIDA, INC;USA;21;North Valle Drug Cartel;;164
CARLOS SAIEH Y CIA. S.C.S.;Colombia;21;North Valle Drug Cartel;;167
FINANZAS DEL NORTE LUIS SAIEH Y CIA. S.C.A.;Colombia;21;North Valle Drug Cartel;;167
INVERSIONES DEL PRADO ABDALA SAIEH Y CIA. S.C.A.;Colombia;21;North Valle Drug Cartel;;167
MOISES SAIEH Y CIA. S.C.A.;Colombia;21;North Valle Drug Cartel;;167
RICARDO JAAR Y CIA. S.C.A.;Colombia;21;North Valle Drug Cartel;;167
ARMANDO JAAR Y CIA. S.C.S.;Colombia;21;North Valle Drug Cartel;;167
CONSTRUCTORA ALTAVISTA INTERNACIONAL S.A.;Colombia;21;North Valle Drug Cartel;;167
URBANIZADORA ALTAVISTA INTERNACIONAL S.A.;Colombia;21;North Valle Drug Cartel;;167
CONFECCIONES LORD S.A.;Colombia;21;North Valle Drug Cartel;;167
GIMBER INVESTING CORPORATION;British Vir in Islands;21;North Valle Drug Cartel;;167
ALM INVESTMENT FLORIDA, INC.;USA;21;North Valle Drug Cartel;;167
GRANADA ASSOCIATES, INC.;USA;21;North Valle Drug Cartel;;167
MARC LLC;USA;21;North Valle Drug Cartel;;167
KAREN OVERSEAS FLORIDA, INC.;USA;21;North Valle Drug Cartel;;167
SUNSET & 97TH HOLDINGS, LLC.;USA;21;North Valle Drug Cartel;;167
VILLAROSA INVESTMENTS FLORIDA, INC.;USA;21;North Valle Drug Cartel;;167
CIPE INVESTMENTS CORPORATION;Panama;21;North Valle Drug Cartel;;167
ELIZABETH OVERSEAS, INC.;Panama;21;North Valle Drug Cartel;;167
KAREN OVERSEAS, INC.;Panama;21;North Valle Drug Cartel;;167
KATTUS II CORPORATION;Panama;21;North Valle Drug Cartel;;167
RIXFORD INVESTMENT CORPORATION;Panama;21;North Valle Drug Cartel;;167
DISDROGAS LTDA.;Colombia;21;North Valle Drug Cartel;;170
RAMIREZ ABADIA Y CIA. S.C.S.;Colombia;21;North Valle Drug Cartel;;170
CANO AGUDELO S EN C;;21;North Valle Drug Cartel;;173
GAVIOTAS LTDA.;;21;North Valle Drug Cartel;;173
ORLANDO SABOGAL E HIJOS & CIA S EN C;;21;North Valle Drug Cartel;;173
GOMEZ MARIN LTDA.;;21;North Valle Drug Cartel;;173
COMERCIALIZADORA DE CAFE DEL OCCIDENTE CODECAFE LTDA.;;21;North Valle Drug Cartel;;173
INVERSIONES MACARNIC PATINO Y CIA S.C.S.;;21;North Valle Drug Cartel;;173
TARRITOS S.A.;Colombia;21;North Valle Drug Cartel;;175
INVERSIONES BRASILAR S.A.;Colombia;21;North Valle Drug Cartel;;175
AGROPECUARIA LINDARAJA S.A.;Colombia;21;North Valle Drug Cartel;;175
CORPORACION CLUB DEPORTIVO TULUA;;21;North Valle Drug Cartel;;175
CAMACHO VALLEJO ASESORES E.U.;Colombia;21;North Valle Drug Cartel;;175
KUTRY MANAGEMENT;Panama;21;North Valle Drug Cartel;;175
CANADUZ S.A.;Colombia;21;North Valle Drug Cartel;;175
COPORACION HOTELERA DEL CARIBE LTDA.;San Andres;21;North Valle Drug Cartel;;175
CLINICA SAN FRANCISCO S.A;;21;North Valle Drug Cartel;;175
APOYOS DIAGNOSTICOS S.A..;;21;North Valle Drug Cartel;;175
ASESORES CONSULTORES ASOCIADOS LTDA.;Colombia;21;North Valle Drug Cartel;;181
CALI @TELE.COM LTDA.;Colombia;21;North Valle Drug Cartel;;181
CITICAR LTDA;Colombia;21;North Valle Drug Cartel;;181
COMMUNICACIONES ABIERTAS CAMARY LTDA.;Colombia;21;North Valle Drug Cartel;;181
CONFECCIONES LINA MARIA LTDA.;Colombia;21;North Valle Drug Cartel;;181
CONSTRUCCIONES E INVERSIONES LTDA.;Colombia;21;North Valle Drug Cartel;;181
